event_id,transaction_id,customer_id,transaction_date,description,amount,transaction_type,status,settlement_count,gross_amount,fee,refund_amount_settlement,net_settlement,settlement_date,settlement_status,reference,bank_transaction_count,credit,invoice_amount,refund_amount_invoice,payment_status,amount_explained,bank_amount_matches,reconciliation_status
E0013,TXN0013,C142,2026-08-08,Customer payment for Order 0013,7500,SALE,RECORDED,1,7500.0,0.0,0.0,7500.0,2026-08-09,SETTLED,RZP-TXN0013,0.0,0.0,7500,0.0,PAID,True,False,UNMATCHED
E0035,TXN0035,C103,2026-08-08,Customer payment for Order 0035,75000,SALE,RECORDED,1,75000.0,0.0,0.0,74500.0,2026-08-09,SETTLED,RZP-TXN0035,1.0,74500.0,75000,0.0,PAID,False,True,UNMATCHED
E0038,TXN0038,C138,2026-08-14,Customer payment for Order 0038,5000,SALE,RECORDED,1,5000.0,0.0,0.0,3000.0,2026-08-15,SETTLED,RZP-TXN0038,1.0,3000.0,5000,0.0,PAID,False,True,UNMATCHED
E0039,TXN0039,C112,2026-08-10,Customer payment for Order 0039,15000,SALE,RECORDED,1,15000.0,0.0,0.0,15000.0,2026-08-11,SETTLED,RZP-TXN0039,0.0,0.0,15000,0.0,PAID,True,False,UNMATCHED
E0062,TXN0062,C115,2026-08-13,Customer payment for Order 0062,1500,SALE,RECORDED,1,1500.0,0.0,0.0,0.0,2026-08-14,SETTLED,RZP-TXN0062,1.0,0.0,1500,0.0,PAID,False,True,UNMATCHED
E0090,TXN0090,C143,2026-08-18,Customer payment for Order 0090,10000,SALE,RECORDED,1,10000.0,0.0,0.0,9500.0,2026-08-19,SETTLED,RZP-TXN0090,1.0,9500.0,10000,0.0,PAID,False,True,UNMATCHED
E0106,TXN0106,C101,2026-08-02,Customer payment for Order 0106,5000,SALE,RECORDED,1,5000.0,0.0,0.0,5000.0,2026-08-03,SETTLED,RZP-TXN0106,0.0,0.0,5000,0.0,PAID,True,False,UNMATCHED
E0121,TXN0121,C126,2026-08-13,Customer payment for Order 0121,75000,SALE,RECORDED,1,75000.0,0.0,0.0,74500.0,2026-08-14,SETTLED,RZP-TXN0121,1.0,74500.0,75000,0.0,PAID,False,True,UNMATCHED
E0122,TXN0122,C124,2026-08-16,Customer payment for Order 0122,1000,SALE,RECORDED,1,1000.0,0.0,0.0,0.0,2026-08-17,SETTLED,RZP-TXN0122,1.0,0.0,1000,0.0,PAID,False,True,UNMATCHED
E0126,TXN0126,C125,2026-08-06,Customer payment for Order 0126,25000,SALE,RECORDED,1,25000.0,0.0,0.0,23000.0,2026-08-07,SETTLED,RZP-TXN0126,1.0,23000.0,25000,0.0,PAID,False,True,UNMATCHED
E0132,TXN0132,C101,2026-08-18,Customer payment for Order 0132,1000,SALE,RECORDED,1,1000.0,0.0,0.0,1000.0,2026-08-19,SETTLED,RZP-TXN0132,0.0,0.0,1000,0.0,PAID,True,False,UNMATCHED
E0138,TXN0138,C145,2026-08-04,Customer payment for Order 0138,2500,SALE,RECORDED,1,2500.0,0.0,0.0,2500.0,2026-08-05,SETTLED,RZP-TXN0138,0.0,0.0,2500,0.0,PAID,True,False,UNMATCHED
E0139,TXN0139,C106,2026-08-19,Customer payment for Order 0139,1000,SALE,RECORDED,1,1000.0,0.0,0.0,0.0,2026-08-20,SETTLED,RZP-TXN0139,1.0,0.0,1000,0.0,PAID,False,True,UNMATCHED
E0145,TXN0145,C131,2026-08-04,Customer payment for Order 0145,15000,SALE,RECORDED,1,15000.0,0.0,0.0,15000.0,2026-08-05,SETTLED,RZP-TXN0145,0.0,0.0,15000,0.0,PAID,True,False,UNMATCHED
E0154,TXN0154,C135,2026-08-01,Customer payment for Order 0154,50000,SALE,RECORDED,1,50000.0,0.0,0.0,49500.0,2026-08-02,SETTLED,RZP-TXN0154,1.0,49500.0,50000,0.0,PAID,False,True,UNMATCHED
E0171,TXN0171,C109,2026-08-05,Customer payment for Order 0171,75000,SALE,RECORDED,1,75000.0,0.0,0.0,74500.0,2026-08-06,SETTLED,RZP-TXN0171,1.0,74500.0,75000,0.0,PAID,False,True,UNMATCHED
E0175,TXN0175,C103,2026-08-20,Customer payment for Order 0175,1500,SALE,RECORDED,1,1500.0,0.0,0.0,1000.0,2026-08-21,SETTLED,RZP-TXN0175,1.0,1000.0,1500,0.0,PAID,False,True,UNMATCHED
E0184,TXN0184,C144,2026-08-10,Customer payment for Order 0184,15000,SALE,RECORDED,1,15000.0,0.0,0.0,13000.0,2026-08-11,SETTLED,RZP-TXN0184,1.0,13000.0,15000,0.0,PAID,False,True,UNMATCHED
E0187,TXN0187,C114,2026-08-19,Customer payment for Order 0187,75000,SALE,RECORDED,1,75000.0,0.0,0.0,73000.0,2026-08-20,SETTLED,RZP-TXN0187,1.0,73000.0,75000,0.0,PAID,False,True,UNMATCHED
E0189,TXN0189,C128,2026-08-09,Customer payment for Order 0189,2500,SALE,RECORDED,1,2500.0,0.0,0.0,2500.0,2026-08-10,SETTLED,RZP-TXN0189,0.0,0.0,2500,0.0,PAID,True,False,UNMATCHED
E0190,TXN0190,C127,2026-08-21,Customer payment for Order 0190,25000,SALE,RECORDED,1,25000.0,0.0,0.0,25000.0,2026-08-22,SETTLED,RZP-TXN0190,0.0,0.0,25000,0.0,PAID,True,False,UNMATCHED
E0202,TXN0202,C141,2026-08-05,Customer payment for Order 0202,25000,SALE,RECORDED,1,25000.0,0.0,0.0,24000.0,2026-08-06,SETTLED,RZP-TXN0202,1.0,24000.0,25000,0.0,PAID,False,True,UNMATCHED
E0214,TXN0214,C128,2026-08-04,Customer payment for Order 0214,50000,SALE,RECORDED,1,50000.0,0.0,0.0,49500.0,2026-08-05,SETTLED,RZP-TXN0214,1.0,49500.0,50000,0.0,PAID,False,True,UNMATCHED
E0217,TXN0217,C143,2026-08-18,Customer payment for Order 0217,15000,SALE,RECORDED,1,15000.0,0.0,0.0,13000.0,2026-08-19,SETTLED,RZP-TXN0217,1.0,13000.0,15000,0.0,PAID,False,True,UNMATCHED
E0219,TXN0219,C115,2026-08-21,Customer payment for Order 0219,7500,SALE,RECORDED,1,7500.0,0.0,0.0,7500.0,2026-08-22,SETTLED,RZP-TXN0219,0.0,0.0,7500,0.0,PAID,True,False,UNMATCHED
E0220,TXN0220,C147,2026-08-03,Customer payment for Order 0220,15000,SALE,RECORDED,1,15000.0,0.0,0.0,15000.0,2026-08-04,SETTLED,RZP-TXN0220,0.0,0.0,15000,0.0,PAID,True,False,UNMATCHED
E0226,TXN0226,C139,2026-08-08,Customer payment for Order 0226,25000,SALE,RECORDED,1,25000.0,0.0,0.0,24500.0,2026-08-09,SETTLED,RZP-TXN0226,1.0,24500.0,25000,0.0,PAID,False,True,UNMATCHED
E0229,TXN0229,C104,2026-08-15,Customer payment for Order 0229,10000,SALE,RECORDED,1,10000.0,0.0,0.0,10000.0,2026-08-16,SETTLED,RZP-TXN0229,0.0,0.0,10000,0.0,PAID,True,False,UNMATCHED
E0233,TXN0233,C144,2026-08-10,Customer payment for Order 0233,1000,SALE,RECORDED,1,1000.0,0.0,0.0,1000.0,2026-08-11,SETTLED,RZP-TXN0233,0.0,0.0,1000,0.0,PAID,True,False,UNMATCHED
E0256,TXN0256,C113,2026-08-15,Customer payment for Order 0256,25000,SALE,RECORDED,1,25000.0,0.0,0.0,24000.0,2026-08-16,SETTLED,RZP-TXN0256,1.0,24000.0,25000,0.0,PAID,False,True,UNMATCHED
E0269,TXN0269,C128,2026-08-17,Customer payment for Order 0269,5000,SALE,RECORDED,1,5000.0,0.0,0.0,4500.0,2026-08-18,SETTLED,RZP-TXN0269,1.0,4500.0,5000,0.0,PAID,False,True,UNMATCHED
E0279,TXN0279,C142,2026-08-09,Customer payment for Order 0279,10000,SALE,RECORDED,1,10000.0,0.0,0.0,8000.0,2026-08-10,SETTLED,RZP-TXN0279,1.0,8000.0,10000,0.0,PAID,False,True,UNMATCHED
E0283,TXN0283,C122,2026-08-14,Customer payment for Order 0283,1000,SALE,RECORDED,1,1000.0,0.0,0.0,1000.0,2026-08-15,SETTLED,RZP-TXN0283,0.0,0.0,1000,0.0,PAID,True,False,UNMATCHED
E0329,TXN0329,C110,2026-08-12,Customer payment for Order 0329,10000,SALE,RECORDED,1,10000.0,0.0,0.0,9000.0,2026-08-13,SETTLED,RZP-TXN0329,1.0,9000.0,10000,0.0,PAID,False,True,UNMATCHED
E0334,TXN0334,C109,2026-08-12,Customer payment for Order 0334,7500,SALE,RECORDED,1,7500.0,0.0,0.0,7500.0,2026-08-13,SETTLED,RZP-TXN0334,0.0,0.0,7500,0.0,PAID,True,False,UNMATCHED
E0353,TXN0353,C109,2026-08-14,Customer payment for Order 0353,1500,SALE,RECORDED,1,1500.0,0.0,0.0,1000.0,2026-08-15,SETTLED,RZP-TXN0353,1.0,1000.0,1500,0.0,PAID,False,True,UNMATCHED
E0355,TXN0355,C123,2026-08-08,Customer payment for Order 0355,15000,SALE,RECORDED,1,15000.0,0.0,0.0,15000.0,2026-08-09,SETTLED,RZP-TXN0355,0.0,0.0,15000,0.0,PAID,True,False,UNMATCHED
E0367,TXN0367,C142,2026-08-03,Customer payment for Order 0367,50000,SALE,RECORDED,1,50000.0,0.0,0.0,50000.0,2026-08-04,SETTLED,RZP-TXN0367,0.0,0.0,50000,0.0,PAID,True,False,UNMATCHED
E0376,TXN0376,C112,2026-08-02,Customer payment for Order 0376,10000,SALE,RECORDED,1,10000.0,0.0,0.0,8000.0,2026-08-03,SETTLED,RZP-TXN0376,1.0,8000.0,10000,0.0,PAID,False,True,UNMATCHED
E0381,TXN0381,C131,2026-08-16,Customer payment for Order 0381,10000,SALE,RECORDED,1,10000.0,0.0,0.0,8000.0,2026-08-17,SETTLED,RZP-TXN0381,1.0,8000.0,10000,0.0,PAID,False,True,UNMATCHED
E0386,TXN0386,C146,2026-08-12,Customer payment for Order 0386,75000,SALE,RECORDED,1,75000.0,0.0,0.0,75000.0,2026-08-13,SETTLED,RZP-TXN0386,0.0,0.0,75000,0.0,PAID,True,False,UNMATCHED
E0391,TXN0391,C123,2026-08-12,Customer payment for Order 0391,15000,SALE,RECORDED,1,15000.0,0.0,0.0,14500.0,2026-08-13,SETTLED,RZP-TXN0391,1.0,14500.0,15000,0.0,PAID,False,True,UNMATCHED
E0394,TXN0394,C141,2026-08-09,Customer payment for Order 0394,5000,SALE,RECORDED,1,5000.0,0.0,0.0,5000.0,2026-08-10,SETTLED,RZP-TXN0394,0.0,0.0,5000,0.0,PAID,True,False,UNMATCHED
E0405,TXN0405,C104,2026-08-10,Customer payment for Order 0405,15000,SALE,RECORDED,1,15000.0,0.0,0.0,15000.0,2026-08-11,SETTLED,RZP-TXN0405,0.0,0.0,15000,0.0,PAID,True,False,UNMATCHED
E0407,TXN0407,C136,2026-08-03,Customer payment for Order 0407,2500,SALE,RECORDED,1,2500.0,0.0,0.0,2500.0,2026-08-04,SETTLED,RZP-TXN0407,0.0,0.0,2500,0.0,PAID,True,False,UNMATCHED
E0412,TXN0412,C120,2026-08-08,Customer payment for Order 0412,10000,SALE,RECORDED,1,10000.0,0.0,0.0,8000.0,2026-08-09,SETTLED,RZP-TXN0412,1.0,8000.0,10000,0.0,PAID,False,True,UNMATCHED
E0424,TXN0424,C145,2026-08-11,Customer payment for Order 0424,10000,SALE,RECORDED,1,10000.0,0.0,0.0,10000.0,2026-08-12,SETTLED,RZP-TXN0424,0.0,0.0,10000,0.0,PAID,True,False,UNMATCHED
E0428,TXN0428,C139,2026-08-14,Customer payment for Order 0428,5000,SALE,RECORDED,1,5000.0,0.0,0.0,5000.0,2026-08-15,SETTLED,RZP-TXN0428,0.0,0.0,5000,0.0,PAID,True,False,UNMATCHED
E0430,TXN0430,C148,2026-08-06,Customer payment for Order 0430,25000,SALE,RECORDED,1,25000.0,0.0,0.0,25000.0,2026-08-07,SETTLED,RZP-TXN0430,0.0,0.0,25000,0.0,PAID,True,False,UNMATCHED
E0432,TXN0432,C125,2026-08-17,Customer payment for Order 0432,25000,SALE,RECORDED,1,25000.0,0.0,0.0,25000.0,2026-08-18,SETTLED,RZP-TXN0432,0.0,0.0,25000,0.0,PAID,True,False,UNMATCHED
E0444,TXN0444,C132,2026-08-05,Customer payment for Order 0444,10000,SALE,RECORDED,1,10000.0,0.0,0.0,9000.0,2026-08-06,SETTLED,RZP-TXN0444,1.0,9000.0,10000,0.0,PAID,False,True,UNMATCHED
E0455,TXN0455,C126,2026-08-17,Customer payment for Order 0455,75000,SALE,RECORDED,1,75000.0,0.0,0.0,73000.0,2026-08-18,SETTLED,RZP-TXN0455,1.0,73000.0,75000,0.0,PAID,False,True,UNMATCHED
E0464,TXN0464,C124,2026-08-13,Customer payment for Order 0464,10000,SALE,RECORDED,1,10000.0,0.0,0.0,9500.0,2026-08-14,SETTLED,RZP-TXN0464,1.0,9500.0,10000,0.0,PAID,False,True,UNMATCHED
E0475,TXN0475,C111,2026-08-14,Customer payment for Order 0475,2500,SALE,RECORDED,1,2500.0,0.0,0.0,2000.0,2026-08-15,SETTLED,RZP-TXN0475,1.0,2000.0,2500,0.0,PAID,False,True,UNMATCHED
E0477,TXN0477,C136,2026-08-20,Customer payment for Order 0477,1500,SALE,RECORDED,1,1500.0,0.0,0.0,500.0,2026-08-21,SETTLED,RZP-TXN0477,1.0,500.0,1500,0.0,PAID,False,True,UNMATCHED
E0484,TXN0484,C142,2026-08-04,Customer payment for Order 0484,2500,SALE,RECORDED,1,2500.0,0.0,0.0,2500.0,2026-08-05,SETTLED,RZP-TXN0484,0.0,0.0,2500,0.0,PAID,True,False,UNMATCHED
E0486,TXN0486,C115,2026-08-15,Customer payment for Order 0486,7500,SALE,RECORDED,1,7500.0,0.0,0.0,6500.0,2026-08-16,SETTLED,RZP-TXN0486,1.0,6500.0,7500,0.0,PAID,False,True,UNMATCHED
E0493,TXN0493,C123,2026-08-14,Customer payment for Order 0493,50000,SALE,RECORDED,1,50000.0,0.0,0.0,48000.0,2026-08-15,SETTLED,RZP-TXN0493,1.0,48000.0,50000,0.0,PAID,False,True,UNMATCHED
