bank_transaction_id,reference,transaction_date,description,credit,debit,balance
BANK0001,RZP-TXN000X,2026-08-05,Payment settlement TXN0001,1000.0,0,228393
BANK0002,RZP-TXN0002,2026-08-08,Payment settlement TXN0002,1500.0,0,385929
BANK0003,RZP-TXN0003,2026-08-20,Payment settlement TXN0003,15000.0,0,149123
BANK0004,RZP-TXN0004,2026-08-09,Payment settlement TXN0004,45000.0,0,394254
BANK0005,RZP-TXN0005,2026-08-22,Payment settlement TXN0005,50000.0,0,335514
BANK0006,RZP-TXN000X,2026-08-10,Payment settlement TXN0006,1000.0,0,183707
BANK0007,RZP-TXN0007,2026-08-15,Payment settlement TXN0007,10000.0,0,212886
BANK0008,RZP-TXN0008,2026-08-12,Payment settlement TXN0008,1500.0,0,150707
BANK0009,RZP-TXN0009,2026-08-13,Payment settlement TXN0009,75000.0,0,122780
BANK0010,RZP-TXN0010,2026-08-16,Payment settlement TXN0010,50000.0,0,298461
BANK0011,RZP-TXN0011,2026-08-19,Payment settlement TXN0011,4500.0,0,424282
BANK0012,RZP-TXN0012,2026-08-22,Payment settlement TXN0012,5000.0,0,124025
BANK0014,RZP-TXN0014,2026-08-05,Payment settlement TXN0014,15000.0,0,433281
BANK0015,RZP-TXN0015,2026-08-07,Payment settlement TXN0015,10000.0,0,451364
BANK0016,RZP-TXN0016,2026-08-22,Payment settlement TXN0016,1350.0,0,189725
BANK0017,RZP-TXN0017,2026-08-09,Payment settlement TXN0017,2450.0,0,241530
BANK0018,RZP-TXN0018,2026-08-21,Payment settlement TXN0018,5000.0,0,129327
BANK0019,RZP-TXN0019,2026-08-03,Payment settlement TXN0019,10000.0,0,134701
BANK0020,RZP-TXN0020,2026-08-20,Payment settlement TXN0020,10000.0,0,361740
BANK0021,RZP-TXN0021,2026-08-22,Payment settlement TXN0021,25000.0,0,173206
BANK0022,RZP-TXN0022,2026-08-19,Payment settlement TXN0022,50000.0,0,406491
BANK0023,RZP-TXN0023,2026-08-20,Payment settlement TXN0023,15000.0,0,172525
BANK0024,RZP-TXN002X,2026-08-17,Payment settlement TXN0024,1500.0,0,157487
BANK0025,RZP-TXN0025,2026-08-22,Payment settlement TXN0025,1500.0,0,321333
BANK0026,RZP-TXN0026,2026-08-04,Payment settlement TXN0026,15000.0,0,345392
