event_id,transaction_id,customer_id,transaction_date,description,amount,transaction_type,status
E0001,TXN0001,C140,2026-08-04,Customer payment for Order 0001,1000,SALE,RECORDED
E0002,TXN0002,C114,2026-08-05,Customer payment for Order 0002,1500,SALE,RECORDED
E0003,TXN0003,C105,2026-08-19,Customer payment for Order 0003,15000,SALE,RECORDED
E0004,TXN0004,C113,2026-08-08,Customer payment for Order 0004,50000,SALE,RECORDED
E0005,TXN0005,C112,2026-08-21,Customer payment for Order 0005,50000,SALE,RECORDED
E0006,TXN0006,C137,2026-08-09,Customer payment for Order 0006,1000,SALE,RECORDED
E0007,TXN0007,C144,2026-08-14,Customer payment for Order 0007,10000,SALE,RECORDED
E0008,TXN0008,C148,2026-08-11,Customer payment for Order 0008,1500,SALE,RECORDED
E0009,TXN0009,C122,2026-08-12,Customer payment for Order 0009,75000,SALE,RECORDED
E0010,TXN0010,C146,2026-08-15,Customer payment for Order 0010,50000,SALE,RECORDED
E0011,TXN0011,C105,2026-08-18,Customer payment for Order 0011,7500,SALE,RECORDED
E0012,TXN0012,C123,2026-08-19,Customer payment for Order 0012,5000,SALE,RECORDED
E0013,TXN0013,C142,2026-08-08,Customer payment for Order 0013,7500,SALE,RECORDED
E0014,TXN0014,C114,2026-08-04,Customer payment for Order 0014,15000,SALE,RECORDED
E0015,TXN0015,C123,2026-08-06,Customer payment for Order 0015,10000,SALE,RECORDED
E0016,TXN0016,C117,2026-08-21,Customer payment for Order 0016,1500,SALE,RECORDED
E0017,TXN0017,C134,2026-08-08,Customer payment for Order 0017,2500,SALE,RECORDED
E0018,TXN0018,C140,2026-08-18,Customer payment for Order 0018,5000,SALE,RECORDED
E0019,TXN0019,C114,2026-08-02,Customer payment for Order 0019,10000,SALE,RECORDED
E0020,TXN0020,C113,2026-08-19,Customer payment for Order 0020,10000,SALE,RECORDED
E0021,TXN0021,C125,2026-08-21,Customer payment for Order 0021,25000,SALE,RECORDED
E0022,TXN0022,C115,2026-08-18,Customer payment for Order 0022,50000,SALE,RECORDED
E0023,TXN0023,C127,2026-08-19,Customer payment for Order 0023,15000,SALE,RECORDED
E0024,TXN0024,C132,2026-08-16,Customer payment for Order 0024,1500,SALE,RECORDED
E0025,TXN0025,C109,2026-08-21,Customer payment for Order 0025,2500,SALE,RECORDED
E0026,TXN0026,C138,2026-08-03,Customer payment for Order 0026,15000,SALE,RECORDED
E0027,TXN0027,C133,2026-08-09,Customer payment for Order 0027,50000,SALE,RECORDED
E0028,TXN0028,C146,2026-08-04,Customer payment for Order 0028,50000,SALE,RECORDED
E0029,TXN0029,C121,2026-08-04,Customer payment for Order 0029,7500,SALE,RECORDED
E0030,TXN0030,C100,2026-08-09,Customer payment for Order 0030,50000,SALE,RECORDED
E0031,TXN0031,C106,2026-08-21,Customer payment for Order 0031,7500,SALE,RECORDED
E0032,TXN0032,C138,2026-08-07,Customer payment for Order 0032,2500,SALE,RECORDED
E0033,TXN0033,C134,2026-08-17,Customer payment for Order 0033,1000,SALE,RECORDED
E0034,TXN0034,C101,2026-08-04,Customer payment for Order 0034,10000,SALE,RECORDED
E0035,TXN0035,C103,2026-08-08,Customer payment for Order 0035,75000,SALE,RECORDED
E0036,TXN0036,C131,2026-08-03,Customer payment for Order 0036,50000,SALE,RECORDED
E0037,TXN0037,C142,2026-08-16,Customer payment for Order 0037,50000,SALE,RECORDED
E0038,TXN0038,C138,2026-08-14,Customer payment for Order 0038,5000,SALE,RECORDED
E0039,TXN0039,C112,2026-08-10,Customer payment for Order 0039,15000,SALE,RECORDED
E0040,TXN0040,C141,2026-08-12,Customer payment for Order 0040,25000,SALE,RECORDED
E0041,TXN0041,C115,2026-08-08,Customer payment for Order 0041,1500,SALE,RECORDED
E0042,TXN0042,C135,2026-08-08,Customer payment for Order 0042,75000,SALE,RECORDED
E0043,TXN0043,C145,2026-08-21,Customer payment for Order 0043,1000,SALE,RECORDED
E0044,TXN0044,C121,2026-08-03,Customer payment for Order 0044,50000,SALE,RECORDED
E0045,TXN0045,C131,2026-08-07,Customer payment for Order 0045,50000,SALE,RECORDED
E0046,TXN0046,C136,2026-08-16,Customer payment for Order 0046,5000,SALE,RECORDED
E0047,TXN0047,C112,2026-08-04,Customer payment for Order 0047,1500,SALE,RECORDED
E0048,TXN0048,C127,2026-08-14,Customer payment for Order 0048,25000,SALE,RECORDED
E0049,TXN0049,C141,2026-08-21,Customer payment for Order 0049,1500,SALE,RECORDED
E0050,TXN0050,C121,2026-08-04,Customer payment for Order 0050,5000,SALE,RECORDED
E0051,TXN0051,C128,2026-08-05,Customer payment for Order 0051,15000,SALE,RECORDED
E0052,TXN0052,C115,2026-08-03,Customer payment for Order 0052,25000,SALE,RECORDED
E0053,TXN0053,C106,2026-08-02,Customer payment for Order 0053,50000,SALE,RECORDED
E0054,TXN0054,C148,2026-08-08,Customer payment for Order 0054,2500,SALE,RECORDED
E0055,TXN0055,C113,2026-08-13,Customer payment for Order 0055,1000,SALE,RECORDED
E0056,TXN0056,C124,2026-08-09,Customer payment for Order 0056,25000,SALE,RECORDED
E0057,TXN0057,C146,2026-08-18,Customer payment for Order 0057,25000,SALE,RECORDED
E0058,TXN0058,C113,2026-08-02,Customer payment for Order 0058,75000,SALE,RECORDED
E0059,TXN0059,C147,2026-08-11,Customer payment for Order 0059,1000,SALE,RECORDED
E0060,TXN0060,C132,2026-08-17,Customer payment for Order 0060,2500,SALE,RECORDED
E0061,TXN0061,C105,2026-08-06,Customer payment for Order 0061,1500,SALE,RECORDED
E0062,TXN0062,C115,2026-08-13,Customer payment for Order 0062,1500,SALE,RECORDED
E0063,TXN0063,C137,2026-08-20,Customer payment for Order 0063,1000,SALE,RECORDED
E0064,TXN0064,C142,2026-08-19,Customer payment for Order 0064,75000,SALE,RECORDED
E0065,TXN0065,C113,2026-08-11,Customer payment for Order 0065,5000,SALE,RECORDED
E0066,TXN0066,C142,2026-08-21,Customer payment for Order 0066,7500,SALE,RECORDED
E0067,TXN0067,C104,2026-08-01,Customer payment for Order 0067,25000,SALE,RECORDED
E0068,TXN0068,C106,2026-08-03,Customer payment for Order 0068,50000,SALE,RECORDED
E0069,TXN0069,C108,2026-08-12,Customer payment for Order 0069,1500,SALE,RECORDED
E0070,TXN0070,C110,2026-08-15,Customer payment for Order 0070,50000,SALE,RECORDED
E0071,TXN0071,C141,2026-08-17,Customer payment for Order 0071,1000,SALE,RECORDED
E0072,TXN0072,C119,2026-08-04,Customer payment for Order 0072,2500,SALE,RECORDED
E0073,TXN0073,C147,2026-08-18,Customer payment for Order 0073,2500,SALE,RECORDED
E0074,TXN0074,C113,2026-08-11,Customer payment for Order 0074,5000,SALE,RECORDED
E0075,TXN0075,C132,2026-08-16,Customer payment for Order 0075,7500,SALE,RECORDED
E0076,TXN0076,C140,2026-08-14,Customer payment for Order 0076,7500,SALE,RECORDED
E0077,TXN0077,C149,2026-08-05,Customer payment for Order 0077,7500,SALE,RECORDED
E0078,TXN0078,C135,2026-08-14,Customer payment for Order 0078,50000,SALE,RECORDED
E0079,TXN0079,C144,2026-08-05,Customer payment for Order 0079,50000,SALE,RECORDED
E0080,TXN0080,C137,2026-08-18,Customer payment for Order 0080,2500,SALE,RECORDED
E0081,TXN0081,C119,2026-08-12,Customer payment for Order 0081,1000,SALE,RECORDED
E0082,TXN0082,C115,2026-08-04,Customer payment for Order 0082,10000,SALE,RECORDED
E0083,TXN0083,C139,2026-08-05,Customer payment for Order 0083,5000,SALE,RECORDED
E0084,TXN0084,C101,2026-08-06,Customer payment for Order 0084,10000,SALE,RECORDED
E0085,TXN0085,C142,2026-08-08,Customer payment for Order 0085,7500,SALE,RECORDED
E0086,TXN0086,C106,2026-08-13,Customer payment for Order 0086,1000,SALE,RECORDED
E0087,TXN0087,C112,2026-08-15,Customer payment for Order 0087,10000,SALE,RECORDED
E0088,TXN0088,C114,2026-08-01,Customer payment for Order 0088,5000,SALE,RECORDED
E0089,TXN0089,C104,2026-08-09,Customer payment for Order 0089,10000,SALE,RECORDED
E0090,TXN0090,C143,2026-08-18,Customer payment for Order 0090,10000,SALE,RECORDED
E0091,TXN0091,C111,2026-08-19,Customer payment for Order 0091,7500,SALE,RECORDED
E0092,TXN0092,C127,2026-08-12,Customer payment for Order 0092,10000,SALE,RECORDED
E0093,TXN0093,C107,2026-08-13,Customer payment for Order 0093,75000,SALE,RECORDED
E0094,TXN0094,C145,2026-08-14,Customer payment for Order 0094,1000,SALE,RECORDED
E0095,TXN0095,C143,2026-08-07,Customer payment for Order 0095,10000,SALE,RECORDED
E0096,TXN0096,C121,2026-08-20,Customer payment for Order 0096,10000,SALE,RECORDED
E0097,TXN0097,C146,2026-08-10,Customer payment for Order 0097,50000,SALE,RECORDED
E0098,TXN0098,C120,2026-08-13,Customer payment for Order 0098,7500,SALE,RECORDED
E0099,TXN0099,C126,2026-08-13,Customer payment for Order 0099,2500,SALE,RECORDED
E0100,TXN0100,C125,2026-08-18,Customer payment for Order 0100,1000,SALE,RECORDED
E0101,TXN0101,C127,2026-08-19,Customer payment for Order 0101,75000,SALE,RECORDED
E0102,TXN0102,C128,2026-08-15,Customer payment for Order 0102,5000,SALE,RECORDED
E0103,TXN0103,C110,2026-08-03,Customer payment for Order 0103,7500,SALE,RECORDED
E0104,TXN0104,C139,2026-08-11,Customer payment for Order 0104,1500,SALE,RECORDED
E0105,TXN0105,C115,2026-08-10,Customer payment for Order 0105,5000,SALE,RECORDED
E0106,TXN0106,C101,2026-08-02,Customer payment for Order 0106,5000,SALE,RECORDED
E0107,TXN0107,C139,2026-08-03,Customer payment for Order 0107,25000,SALE,RECORDED
E0108,TXN0108,C136,2026-08-07,Customer payment for Order 0108,15000,SALE,RECORDED
E0109,TXN0109,C109,2026-08-21,Customer payment for Order 0109,1000,SALE,RECORDED
E0110,TXN0110,C114,2026-08-06,Customer payment for Order 0110,50000,SALE,RECORDED
E0111,TXN0111,C115,2026-08-04,Customer payment for Order 0111,25000,SALE,RECORDED
E0112,TXN0112,C142,2026-08-17,Customer payment for Order 0112,50000,SALE,RECORDED
E0113,TXN0113,C128,2026-08-20,Customer payment for Order 0113,50000,SALE,RECORDED
E0114,TXN0114,C128,2026-08-06,Customer payment for Order 0114,25000,SALE,RECORDED
E0115,TXN0115,C115,2026-08-21,Customer payment for Order 0115,7500,SALE,RECORDED
E0116,TXN0116,C131,2026-08-21,Customer payment for Order 0116,5000,SALE,RECORDED
E0117,TXN0117,C145,2026-08-10,Customer payment for Order 0117,5000,SALE,RECORDED
E0118,TXN0118,C134,2026-08-03,Customer payment for Order 0118,2500,SALE,RECORDED
E0119,TXN0119,C144,2026-08-05,Customer payment for Order 0119,5000,SALE,RECORDED
E0120,TXN0120,C121,2026-08-18,Customer payment for Order 0120,25000,SALE,RECORDED
E0121,TXN0121,C126,2026-08-13,Customer payment for Order 0121,75000,SALE,RECORDED
E0122,TXN0122,C124,2026-08-16,Customer payment for Order 0122,1000,SALE,RECORDED
E0123,TXN0123,C124,2026-08-14,Customer payment for Order 0123,50000,SALE,RECORDED
E0124,TXN0124,C138,2026-08-08,Customer payment for Order 0124,25000,SALE,RECORDED
E0125,TXN0125,C131,2026-08-01,Customer payment for Order 0125,15000,SALE,RECORDED
E0126,TXN0126,C125,2026-08-06,Customer payment for Order 0126,25000,SALE,RECORDED
E0127,TXN0127,C101,2026-08-13,Customer payment for Order 0127,75000,SALE,RECORDED
E0128,TXN0128,C105,2026-08-21,Customer payment for Order 0128,15000,SALE,RECORDED
E0129,TXN0129,C111,2026-08-02,Customer payment for Order 0129,7500,SALE,RECORDED
E0130,TXN0130,C129,2026-08-11,Customer payment for Order 0130,10000,SALE,RECORDED
E0131,TXN0131,C117,2026-08-14,Customer payment for Order 0131,7500,SALE,RECORDED
E0132,TXN0132,C101,2026-08-18,Customer payment for Order 0132,1000,SALE,RECORDED
E0133,TXN0133,C122,2026-08-08,Customer payment for Order 0133,1500,SALE,RECORDED
E0134,TXN0134,C102,2026-08-01,Customer payment for Order 0134,5000,SALE,RECORDED
E0135,TXN0135,C139,2026-08-05,Customer payment for Order 0135,5000,SALE,RECORDED
E0136,TXN0136,C107,2026-08-19,Customer payment for Order 0136,5000,SALE,RECORDED
E0137,TXN0137,C149,2026-08-12,Customer payment for Order 0137,2500,SALE,RECORDED
E0138,TXN0138,C145,2026-08-04,Customer payment for Order 0138,2500,SALE,RECORDED
E0139,TXN0139,C106,2026-08-19,Customer payment for Order 0139,1000,SALE,RECORDED
E0140,TXN0140,C124,2026-08-13,Customer payment for Order 0140,5000,SALE,RECORDED
E0141,TXN0141,C140,2026-08-08,Customer payment for Order 0141,1500,SALE,RECORDED
E0142,TXN0142,C143,2026-08-20,Customer payment for Order 0142,1500,SALE,RECORDED
E0143,TXN0143,C102,2026-08-12,Customer payment for Order 0143,50000,SALE,RECORDED
E0144,TXN0144,C104,2026-08-17,Customer payment for Order 0144,10000,SALE,RECORDED
E0145,TXN0145,C131,2026-08-04,Customer payment for Order 0145,15000,SALE,RECORDED
E0146,TXN0146,C140,2026-08-15,Customer payment for Order 0146,2500,SALE,RECORDED
E0147,TXN0147,C133,2026-08-21,Customer payment for Order 0147,7500,SALE,RECORDED
E0148,TXN0148,C149,2026-08-16,Customer payment for Order 0148,25000,SALE,RECORDED
E0149,TXN0149,C137,2026-08-09,Customer payment for Order 0149,10000,SALE,RECORDED
E0150,TXN0150,C117,2026-08-15,Customer payment for Order 0150,5000,SALE,RECORDED
E0151,TXN0151,C139,2026-08-13,Customer payment for Order 0151,10000,SALE,RECORDED
E0152,TXN0152,C111,2026-08-16,Customer payment for Order 0152,5000,SALE,RECORDED
E0153,TXN0153,C121,2026-08-09,Customer payment for Order 0153,75000,SALE,RECORDED
E0154,TXN0154,C135,2026-08-01,Customer payment for Order 0154,50000,SALE,RECORDED
E0155,TXN0155,C146,2026-08-14,Customer payment for Order 0155,25000,SALE,RECORDED
E0156,TXN0156,C144,2026-08-16,Customer payment for Order 0156,25000,SALE,RECORDED
E0157,TXN0157,C105,2026-08-10,Customer payment for Order 0157,5000,SALE,RECORDED
E0158,TXN0158,C119,2026-08-19,Customer payment for Order 0158,10000,SALE,RECORDED
E0159,TXN0159,C122,2026-08-14,Customer payment for Order 0159,50000,SALE,RECORDED
E0160,TXN0160,C129,2026-08-09,Customer payment for Order 0160,7500,SALE,RECORDED
E0161,TXN0161,C146,2026-08-07,Customer payment for Order 0161,10000,SALE,RECORDED
E0162,TXN0162,C148,2026-08-06,Customer payment for Order 0162,5000,SALE,RECORDED
E0163,TXN0163,C117,2026-08-19,Customer payment for Order 0163,50000,SALE,RECORDED
E0164,TXN0164,C112,2026-08-10,Customer payment for Order 0164,5000,SALE,RECORDED
E0165,TXN0165,C100,2026-08-18,Customer payment for Order 0165,2500,SALE,RECORDED
E0166,TXN0166,C135,2026-08-10,Customer payment for Order 0166,2500,SALE,RECORDED
E0167,TXN0167,C131,2026-08-04,Customer payment for Order 0167,1000,SALE,RECORDED
E0168,TXN0168,C130,2026-08-15,Customer payment for Order 0168,10000,SALE,RECORDED
E0169,TXN0169,C116,2026-08-16,Customer payment for Order 0169,1500,SALE,RECORDED
E0170,TXN0170,C131,2026-08-03,Customer payment for Order 0170,75000,SALE,RECORDED
E0171,TXN0171,C109,2026-08-05,Customer payment for Order 0171,75000,SALE,RECORDED
E0172,TXN0172,C107,2026-08-18,Customer payment for Order 0172,15000,SALE,RECORDED
E0173,TXN0173,C114,2026-08-17,Customer payment for Order 0173,15000,SALE,RECORDED
E0174,TXN0174,C119,2026-08-19,Customer payment for Order 0174,15000,SALE,RECORDED
E0175,TXN0175,C103,2026-08-20,Customer payment for Order 0175,1500,SALE,RECORDED
E0176,TXN0176,C113,2026-08-09,Customer payment for Order 0176,1500,SALE,RECORDED
E0177,TXN0177,C135,2026-08-03,Customer payment for Order 0177,2500,SALE,RECORDED
E0178,TXN0178,C144,2026-08-20,Customer payment for Order 0178,25000,SALE,RECORDED
E0179,TXN0179,C118,2026-08-10,Customer payment for Order 0179,25000,SALE,RECORDED
E0180,TXN0180,C116,2026-08-21,Customer payment for Order 0180,75000,SALE,RECORDED
E0181,TXN0181,C127,2026-08-04,Customer payment for Order 0181,50000,SALE,RECORDED
E0182,TXN0182,C117,2026-08-05,Customer payment for Order 0182,1500,SALE,RECORDED
E0183,TXN0183,C138,2026-08-19,Customer payment for Order 0183,7500,SALE,RECORDED
E0184,TXN0184,C144,2026-08-10,Customer payment for Order 0184,15000,SALE,RECORDED
E0185,TXN0185,C131,2026-08-15,Customer payment for Order 0185,1500,SALE,RECORDED
E0186,TXN0186,C147,2026-08-11,Customer payment for Order 0186,75000,SALE,RECORDED
E0187,TXN0187,C114,2026-08-19,Customer payment for Order 0187,75000,SALE,RECORDED
E0188,TXN0188,C136,2026-08-02,Customer payment for Order 0188,2500,SALE,RECORDED
E0189,TXN0189,C128,2026-08-09,Customer payment for Order 0189,2500,SALE,RECORDED
E0190,TXN0190,C127,2026-08-21,Customer payment for Order 0190,25000,SALE,RECORDED
E0191,TXN0191,C130,2026-08-12,Customer payment for Order 0191,15000,SALE,RECORDED
E0192,TXN0192,C106,2026-08-06,Customer payment for Order 0192,10000,SALE,RECORDED
E0193,TXN0193,C118,2026-08-13,Customer payment for Order 0193,50000,SALE,RECORDED
E0194,TXN0194,C120,2026-08-09,Customer payment for Order 0194,10000,SALE,RECORDED
E0195,TXN0195,C132,2026-08-01,Customer payment for Order 0195,50000,SALE,RECORDED
E0196,TXN0196,C112,2026-08-17,Customer payment for Order 0196,10000,SALE,RECORDED
E0197,TXN0197,C140,2026-08-15,Customer payment for Order 0197,1000,SALE,RECORDED
E0198,TXN0198,C108,2026-08-10,Customer payment for Order 0198,25000,SALE,RECORDED
E0199,TXN0199,C101,2026-08-21,Customer payment for Order 0199,75000,SALE,RECORDED
E0200,TXN0200,C110,2026-08-10,Customer payment for Order 0200,50000,SALE,RECORDED
E0201,TXN0201,C105,2026-08-08,Customer payment for Order 0201,1500,SALE,RECORDED
E0202,TXN0202,C141,2026-08-05,Customer payment for Order 0202,25000,SALE,RECORDED
E0203,TXN0203,C145,2026-08-09,Customer payment for Order 0203,15000,SALE,RECORDED
E0204,TXN0204,C115,2026-08-15,Customer payment for Order 0204,50000,SALE,RECORDED
E0205,TXN0205,C138,2026-08-17,Customer payment for Order 0205,2500,SALE,RECORDED
E0206,TXN0206,C121,2026-08-17,Customer payment for Order 0206,7500,SALE,RECORDED
E0207,TXN0207,C146,2026-08-10,Customer payment for Order 0207,75000,SALE,RECORDED
E0208,TXN0208,C131,2026-08-05,Customer payment for Order 0208,25000,SALE,RECORDED
E0209,TXN0209,C121,2026-08-18,Customer payment for Order 0209,50000,SALE,RECORDED
E0210,TXN0210,C112,2026-08-08,Customer payment for Order 0210,75000,SALE,RECORDED
E0211,TXN0211,C102,2026-08-11,Customer payment for Order 0211,25000,SALE,RECORDED
E0212,TXN0212,C124,2026-08-21,Customer payment for Order 0212,2500,SALE,RECORDED
E0213,TXN0213,C108,2026-08-17,Customer payment for Order 0213,75000,SALE,RECORDED
E0214,TXN0214,C128,2026-08-04,Customer payment for Order 0214,50000,SALE,RECORDED
E0215,TXN0215,C109,2026-08-14,Customer payment for Order 0215,2500,SALE,RECORDED
E0216,TXN0216,C121,2026-08-20,Customer payment for Order 0216,15000,SALE,RECORDED
E0217,TXN0217,C143,2026-08-18,Customer payment for Order 0217,15000,SALE,RECORDED
E0218,TXN0218,C148,2026-08-16,Customer payment for Order 0218,50000,SALE,RECORDED
E0219,TXN0219,C115,2026-08-21,Customer payment for Order 0219,7500,SALE,RECORDED
E0220,TXN0220,C147,2026-08-03,Customer payment for Order 0220,15000,SALE,RECORDED
E0221,TXN0221,C148,2026-08-21,Customer payment for Order 0221,1500,SALE,RECORDED
E0222,TXN0222,C119,2026-08-01,Customer payment for Order 0222,1000,SALE,RECORDED
E0223,TXN0223,C118,2026-08-12,Customer payment for Order 0223,10000,SALE,RECORDED
E0224,TXN0224,C133,2026-08-14,Customer payment for Order 0224,75000,SALE,RECORDED
E0225,TXN0225,C110,2026-08-06,Customer payment for Order 0225,1500,SALE,RECORDED
E0226,TXN0226,C139,2026-08-08,Customer payment for Order 0226,25000,SALE,RECORDED
E0227,TXN0227,C129,2026-08-21,Customer payment for Order 0227,7500,SALE,RECORDED
E0228,TXN0228,C100,2026-08-15,Customer payment for Order 0228,7500,SALE,RECORDED
E0229,TXN0229,C104,2026-08-15,Customer payment for Order 0229,10000,SALE,RECORDED
E0230,TXN0230,C119,2026-08-21,Customer payment for Order 0230,15000,SALE,RECORDED
E0231,TXN0231,C119,2026-08-07,Customer payment for Order 0231,15000,SALE,RECORDED
E0232,TXN0232,C115,2026-08-13,Customer payment for Order 0232,75000,SALE,RECORDED
E0233,TXN0233,C144,2026-08-10,Customer payment for Order 0233,1000,SALE,RECORDED
E0234,TXN0234,C142,2026-08-13,Customer payment for Order 0234,7500,SALE,RECORDED
E0235,TXN0235,C149,2026-08-02,Customer payment for Order 0235,75000,SALE,RECORDED
E0236,TXN0236,C149,2026-08-08,Customer payment for Order 0236,75000,SALE,RECORDED
E0237,TXN0237,C140,2026-08-07,Customer payment for Order 0237,75000,SALE,RECORDED
E0238,TXN0238,C146,2026-08-05,Customer payment for Order 0238,1500,SALE,RECORDED
E0239,TXN0239,C119,2026-08-15,Customer payment for Order 0239,1000,SALE,RECORDED
E0240,TXN0240,C108,2026-08-03,Customer payment for Order 0240,7500,SALE,RECORDED
E0241,TXN0241,C111,2026-08-07,Customer payment for Order 0241,2500,SALE,RECORDED
E0242,TXN0242,C133,2026-08-17,Customer payment for Order 0242,7500,SALE,RECORDED
E0243,TXN0243,C130,2026-08-10,Customer payment for Order 0243,10000,SALE,RECORDED
E0244,TXN0244,C104,2026-08-05,Customer payment for Order 0244,5000,SALE,RECORDED
E0245,TXN0245,C125,2026-08-18,Customer payment for Order 0245,10000,SALE,RECORDED
E0246,TXN0246,C100,2026-08-09,Customer payment for Order 0246,50000,SALE,RECORDED
E0247,TXN0247,C143,2026-08-09,Customer payment for Order 0247,75000,SALE,RECORDED
E0248,TXN0248,C123,2026-08-04,Customer payment for Order 0248,5000,SALE,RECORDED
E0249,TXN0249,C135,2026-08-11,Customer payment for Order 0249,75000,SALE,RECORDED
E0250,TXN0250,C140,2026-08-15,Customer payment for Order 0250,7500,SALE,RECORDED
E0251,TXN0251,C108,2026-08-02,Customer payment for Order 0251,1000,SALE,RECORDED
E0252,TXN0252,C107,2026-08-04,Customer payment for Order 0252,5000,SALE,RECORDED
E0253,TXN0253,C129,2026-08-12,Customer payment for Order 0253,50000,SALE,RECORDED
E0254,TXN0254,C146,2026-08-05,Customer payment for Order 0254,15000,SALE,RECORDED
E0255,TXN0255,C139,2026-08-14,Customer payment for Order 0255,7500,SALE,RECORDED
E0256,TXN0256,C113,2026-08-15,Customer payment for Order 0256,25000,SALE,RECORDED
E0257,TXN0257,C143,2026-08-12,Customer payment for Order 0257,50000,SALE,RECORDED
E0258,TXN0258,C103,2026-08-13,Customer payment for Order 0258,7500,SALE,RECORDED
E0259,TXN0259,C129,2026-08-03,Customer payment for Order 0259,5000,SALE,RECORDED
E0260,TXN0260,C101,2026-08-02,Customer payment for Order 0260,10000,SALE,RECORDED
E0261,TXN0261,C136,2026-08-07,Customer payment for Order 0261,1500,SALE,RECORDED
E0262,TXN0262,C113,2026-08-19,Customer payment for Order 0262,5000,SALE,RECORDED
E0263,TXN0263,C121,2026-08-05,Customer payment for Order 0263,75000,SALE,RECORDED
E0264,TXN0264,C108,2026-08-18,Customer payment for Order 0264,7500,SALE,RECORDED
E0265,TXN0265,C142,2026-08-01,Customer payment for Order 0265,2500,SALE,RECORDED
E0266,TXN0266,C137,2026-08-11,Customer payment for Order 0266,1000,SALE,RECORDED
E0267,TXN0267,C108,2026-08-14,Customer payment for Order 0267,50000,SALE,RECORDED
E0268,TXN0268,C130,2026-08-15,Customer payment for Order 0268,10000,SALE,RECORDED
E0269,TXN0269,C128,2026-08-17,Customer payment for Order 0269,5000,SALE,RECORDED
E0270,TXN0270,C142,2026-08-17,Customer payment for Order 0270,7500,SALE,RECORDED
E0271,TXN0271,C103,2026-08-16,Customer payment for Order 0271,15000,SALE,RECORDED
E0272,TXN0272,C131,2026-08-15,Customer payment for Order 0272,1500,SALE,RECORDED
E0273,TXN0273,C109,2026-08-03,Customer payment for Order 0273,2500,SALE,RECORDED
E0274,TXN0274,C137,2026-08-18,Customer payment for Order 0274,10000,SALE,RECORDED
E0275,TXN0275,C133,2026-08-10,Customer payment for Order 0275,25000,SALE,RECORDED
E0276,TXN0276,C106,2026-08-04,Customer payment for Order 0276,50000,SALE,RECORDED
E0277,TXN0277,C127,2026-08-15,Customer payment for Order 0277,5000,SALE,RECORDED
E0278,TXN0278,C125,2026-08-14,Customer payment for Order 0278,1500,SALE,RECORDED
E0279,TXN0279,C142,2026-08-09,Customer payment for Order 0279,10000,SALE,RECORDED
E0280,TXN0280,C104,2026-08-03,Customer payment for Order 0280,1500,SALE,RECORDED
E0281,TXN0281,C147,2026-08-12,Customer payment for Order 0281,2500,SALE,RECORDED
E0282,TXN0282,C135,2026-08-18,Customer payment for Order 0282,10000,SALE,RECORDED
E0283,TXN0283,C122,2026-08-14,Customer payment for Order 0283,1000,SALE,RECORDED
E0284,TXN0284,C138,2026-08-10,Customer payment for Order 0284,10000,SALE,RECORDED
E0285,TXN0285,C113,2026-08-05,Customer payment for Order 0285,25000,SALE,RECORDED
E0286,TXN0286,C122,2026-08-18,Customer payment for Order 0286,10000,SALE,RECORDED
E0287,TXN0287,C136,2026-08-08,Customer payment for Order 0287,15000,SALE,RECORDED
E0288,TXN0288,C139,2026-08-21,Customer payment for Order 0288,50000,SALE,RECORDED
E0289,TXN0289,C144,2026-08-09,Customer payment for Order 0289,1000,SALE,RECORDED
E0290,TXN0290,C148,2026-08-10,Customer payment for Order 0290,10000,SALE,RECORDED
E0291,TXN0291,C109,2026-08-19,Customer payment for Order 0291,15000,SALE,RECORDED
