invoice_id,transaction_id,customer_id,invoice_date,invoice_amount,tax_amount,refund_amount,invoice_status,refund_date,payment_status
INV0001,TXN0001,C140,2026-08-04,1000,180.0,0.0,PAID,,PAID
INV0002,TXN0002,C114,2026-08-05,1500,270.0,0.0,PAID,,PAID
INV0003,TXN0003,C105,2026-08-19,15000,2700.0,0.0,PAID,,PAID
INV0004,TXN0004,C113,2026-08-08,50000,9000.0,5000.0,PAID,2026-08-09,PAID
INV0005,TXN0005,C112,2026-08-21,50000,9000.0,0.0,PAID,,PAID
INV0006,TXN0006,C137,2026-08-09,1000,180.0,0.0,PAID,,PAID
INV0007,TXN0007,C144,2026-08-14,10000,1800.0,0.0,PAID,,PAID
INV0008,TXN0008,C148,2026-08-11,1500,270.0,0.0,PAID,,PAID
INV0009,TXN0009,C122,2026-08-12,75000,13500.0,0.0,PAID,,PAID
INV0010,TXN0010,C146,2026-08-15,50000,9000.0,0.0,PAID,,PAID
INV0011,TXN0011,C105,2026-08-18,7500,1350.0,0.0,PARTIAL,,PARTIAL
INV0012,TXN0012,C123,2026-08-19,5000,900.0,0.0,PAID,,PAID
INV0013,TXN0013,C142,2026-08-08,7500,1350.0,0.0,PAID,,PAID
INV0014,TXN0014,C114,2026-08-04,15000,2700.0,0.0,PAID,,PAID
INV0015,TXN0015,C123,2026-08-06,10000,1800.0,0.0,PAID,,PAID
INV0016,TXN0016,C117,2026-08-21,1500,270.0,150.0,PAID,2026-08-22,PAID
INV0017,TXN0017,C134,2026-08-08,2500,450.0,0.0,PAID,,PAID
INV0018,TXN0018,C140,2026-08-18,5000,900.0,0.0,PAID,,PAID
INV0019,TXN0019,C114,2026-08-02,10000,1800.0,0.0,PAID,,PAID
INV0020,TXN0020,C113,2026-08-19,10000,1800.0,0.0,PAID,,PAID
INV0021,TXN0021,C125,2026-08-21,25000,4500.0,0.0,PAID,,PAID
INV0022,TXN0022,C115,2026-08-18,50000,9000.0,0.0,PAID,,PAID
INV0023,TXN0023,C127,2026-08-19,15000,2700.0,0.0,PAID,,PAID
INV0024,TXN0024,C132,2026-08-16,1500,270.0,0.0,PAID,,PAID
INV0025,TXN0025,C109,2026-08-21,2500,450.0,0.0,PARTIAL,,PARTIAL
INV0026,TXN0026,C138,2026-08-03,15000,2700.0,0.0,PAID,,PAID
INV0027,TXN0027,C133,2026-08-09,50000,9000.0,0.0,PAID,,PAID
INV0028,TXN0028,C146,2026-08-04,50000,9000.0,0.0,PAID,,PAID
INV0029,TXN0029,C121,2026-08-04,7500,1350.0,0.0,PAID,,PAID
INV0030,TXN0030,C100,2026-08-09,50000,9000.0,0.0,PAID,,PAID
INV0031,TXN0031,C106,2026-08-21,7500,1350.0,0.0,PARTIAL,,PARTIAL
INV0032,TXN0032,C138,2026-08-07,2500,450.0,0.0,PAID,,PAID
INV0033,TXN0033,C134,2026-08-17,1000,180.0,100.0,PAID,2026-08-18,PAID
INV0034,TXN0034,C101,2026-08-04,10000,1800.0,0.0,PAID,,PAID
INV0035,TXN0035,C103,2026-08-08,75000,13500.0,0.0,PAID,,PAID
INV0036,TXN0036,C131,2026-08-03,50000,9000.0,0.0,PAID,,PAID
INV0037,TXN0037,C142,2026-08-16,50000,9000.0,0.0,PAID,,PAID
INV0038,TXN0038,C138,2026-08-14,5000,900.0,0.0,PAID,,PAID
INV0039,TXN0039,C112,2026-08-10,15000,2700.0,0.0,PAID,,PAID
INV0040,TXN0040,C141,2026-08-12,25000,4500.0,0.0,PAID,,PAID
INV0041,TXN0041,C115,2026-08-08,1500,270.0,0.0,PAID,,PAID
INV0042,TXN0042,C135,2026-08-08,75000,13500.0,0.0,PAID,,PAID
INV0043,TXN0043,C145,2026-08-21,1000,180.0,0.0,PAID,,PAID
INV0044,TXN0044,C121,2026-08-03,50000,9000.0,0.0,PAID,,PAID
INV0045,TXN0045,C131,2026-08-07,50000,9000.0,0.0,PAID,,PAID
INV0046,TXN0046,C136,2026-08-16,5000,900.0,0.0,PAID,,PAID
INV0047,TXN0047,C112,2026-08-04,1500,270.0,0.0,PAID,,PAID
INV0048,TXN0048,C127,2026-08-14,25000,4500.0,0.0,PAID,,PAID
INV0049,TXN0049,C141,2026-08-21,1500,270.0,0.0,PAID,,PAID
INV0050,TXN0050,C121,2026-08-04,5000,900.0,0.0,PAID,,PAID
INV0051,TXN0051,C128,2026-08-05,15000,2700.0,0.0,PAID,,PAID
INV0052,TXN0052,C115,2026-08-03,25000,4500.0,0.0,PARTIAL,,PARTIAL
INV0053,TXN0053,C106,2026-08-02,50000,9000.0,0.0,PARTIAL,,PARTIAL
INV0054,TXN0054,C148,2026-08-08,2500,450.0,0.0,PAID,,PAID
INV0055,TXN0055,C113,2026-08-13,1000,180.0,0.0,PAID,,PAID
INV0056,TXN0056,C124,2026-08-09,25000,4500.0,0.0,PAID,,PAID
INV0057,TXN0057,C146,2026-08-18,25000,4500.0,0.0,PAID,,PAID
INV0058,TXN0058,C113,2026-08-02,75000,13500.0,0.0,PAID,,PAID
INV0059,TXN0059,C147,2026-08-11,1000,180.0,0.0,PAID,,PAID
INV0060,TXN0060,C132,2026-08-17,2500,450.0,0.0,PAID,,PAID
INV0061,TXN0061,C105,2026-08-06,1500,270.0,150.0,PAID,2026-08-07,PAID
INV0062,TXN0062,C115,2026-08-13,1500,270.0,0.0,PAID,,PAID
INV0063,TXN0063,C137,2026-08-20,1000,180.0,100.0,PAID,2026-08-21,PAID
INV0064,TXN0064,C142,2026-08-19,75000,13500.0,0.0,PAID,,PAID
INV0065,TXN0065,C113,2026-08-11,5000,900.0,0.0,PAID,,PAID
INV0066,TXN0066,C142,2026-08-21,7500,1350.0,0.0,PAID,,PAID
INV0067,TXN0067,C104,2026-08-01,25000,4500.0,2500.0,PAID,2026-08-02,PAID
INV0068,TXN0068,C106,2026-08-03,50000,9000.0,0.0,PAID,,PAID
INV0069,TXN0069,C108,2026-08-12,1500,270.0,0.0,PAID,,PAID
INV0070,TXN0070,C110,2026-08-15,50000,9000.0,0.0,PAID,,PAID
INV0071,TXN0071,C141,2026-08-17,1000,180.0,0.0,PAID,,PAID
INV0072,TXN0072,C119,2026-08-04,2500,450.0,0.0,PAID,,PAID
INV0073,TXN0073,C147,2026-08-18,2500,450.0,0.0,PAID,,PAID
INV0074,TXN0074,C113,2026-08-11,5000,900.0,0.0,PAID,,PAID
INV0075,TXN0075,C132,2026-08-16,7500,1350.0,0.0,PAID,,PAID
INV0076,TXN0076,C140,2026-08-14,7500,1350.0,0.0,PAID,,PAID
INV0077,TXN0077,C149,2026-08-05,7500,1350.0,0.0,PAID,,PAID
INV0078,TXN0078,C135,2026-08-14,50000,9000.0,0.0,PAID,,PAID
INV0079,TXN0079,C144,2026-08-05,50000,9000.0,0.0,PAID,,PAID
INV0080,TXN0080,C137,2026-08-18,2500,450.0,0.0,PAID,,PAID
INV0081,TXN0081,C119,2026-08-12,1000,180.0,0.0,PAID,,PAID
INV0082,TXN0082,C115,2026-08-04,10000,1800.0,0.0,PAID,,PAID
INV0083,TXN0083,C139,2026-08-05,5000,900.0,0.0,PAID,,PAID
INV0084,TXN0084,C101,2026-08-06,10000,1800.0,0.0,PAID,,PAID
INV0085,TXN0085,C142,2026-08-08,7500,1350.0,0.0,PAID,,PAID
INV0086,TXN0086,C106,2026-08-13,1000,180.0,0.0,PARTIAL,,PARTIAL
INV0087,TXN0087,C112,2026-08-15,10000,1800.0,0.0,PAID,,PAID
INV0088,TXN0088,C114,2026-08-01,5000,900.0,0.0,PAID,,PAID
INV0089,TXN0089,C104,2026-08-09,10000,1800.0,0.0,PAID,,PAID
INV0090,TXN0090,C143,2026-08-18,10000,1800.0,0.0,PAID,,PAID
INV0091,TXN0091,C111,2026-08-19,7500,1350.0,0.0,PAID,,PAID
INV0092,TXN0092,C127,2026-08-12,10000,1800.0,0.0,PAID,,PAID
