event_id,transaction_id,customer_id,transaction_date,description,amount,transaction_type,status,settlement_count,gross_amount,fee,refund_amount_settlement,net_settlement,settlement_date,settlement_status,reference,bank_transaction_count,credit,invoice_amount,refund_amount_invoice,payment_status,amount_explained,bank_amount_matches,reconciliation_status
E0001,TXN0001,C140,2026-08-04,Customer payment for Order 0001,1000,SALE,RECORDED,1,1000.0,0.0,0.0,1000.0,2026-08-05,SETTLED,RZP-TXN000X,1.0,1000.0,1000,0.0,PAID,True,True,MATCHED
E0002,TXN0002,C114,2026-08-05,Customer payment for Order 0002,1500,SALE,RECORDED,1,1500.0,0.0,0.0,1500.0,2026-08-08,SETTLED,RZP-TXN0002,1.0,1500.0,1500,0.0,PAID,True,True,MATCHED
E0003,TXN0003,C105,2026-08-19,Customer payment for Order 0003,15000,SALE,RECORDED,1,15000.0,0.0,0.0,15000.0,2026-08-20,SETTLED,RZP-TXN0003,1.0,15000.0,15000,0.0,PAID,True,True,MATCHED
E0004,TXN0004,C113,2026-08-08,Customer payment for Order 0004,50000,SALE,RECORDED,1,50000.0,0.0,5000.0,45000.0,2026-08-09,SETTLED,RZP-TXN0004,1.0,45000.0,50000,5000.0,PAID,True,True,MATCHED
E0005,TXN0005,C112,2026-08-21,Customer payment for Order 0005,50000,SALE,RECORDED,1,50000.0,0.0,0.0,50000.0,2026-08-22,SETTLED,RZP-TXN0005,1.0,50000.0,50000,0.0,PAID,True,True,MATCHED
E0006,TXN0006,C137,2026-08-09,Customer payment for Order 0006,1000,SALE,RECORDED,1,1000.0,0.0,0.0,1000.0,2026-08-10,SETTLED,RZP-TXN000X,1.0,1000.0,1000,0.0,PAID,True,True,MATCHED
E0007,TXN0007,C144,2026-08-14,Customer payment for Order 0007,10000,SALE,RECORDED,1,10000.0,0.0,0.0,10000.0,2026-08-15,SETTLED,RZP-TXN0007,1.0,10000.0,10000,0.0,PAID,True,True,MATCHED
E0008,TXN0008,C148,2026-08-11,Customer payment for Order 0008,1500,SALE,RECORDED,1,1500.0,0.0,0.0,1500.0,2026-08-12,SETTLED,RZP-TXN0008,1.0,1500.0,1500,0.0,PAID,True,True,MATCHED
E0009,TXN0009,C122,2026-08-12,Customer payment for Order 0009,75000,SALE,RECORDED,1,75000.0,0.0,0.0,75000.0,2026-08-13,SETTLED,RZP-TXN0009,1.0,75000.0,75000,0.0,PAID,True,True,MATCHED
E0010,TXN0010,C146,2026-08-15,Customer payment for Order 0010,50000,SALE,RECORDED,1,50000.0,0.0,0.0,50000.0,2026-08-16,SETTLED,RZP-TXN0010,1.0,50000.0,50000,0.0,PAID,True,True,MATCHED
E0011,TXN0011,C105,2026-08-18,Customer payment for Order 0011,7500,SALE,RECORDED,1,7500.0,0.0,0.0,4500.0,2026-08-19,SETTLED,RZP-TXN0011,1.0,4500.0,7500,0.0,PARTIAL,False,True,HUMAN_REVIEW
E0012,TXN0012,C123,2026-08-19,Customer payment for Order 0012,5000,SALE,RECORDED,1,5000.0,0.0,0.0,5000.0,2026-08-22,SETTLED,RZP-TXN0012,1.0,5000.0,5000,0.0,PAID,True,True,MATCHED
E0013,TXN0013,C142,2026-08-08,Customer payment for Order 0013,7500,SALE,RECORDED,1,7500.0,0.0,0.0,7500.0,2026-08-09,SETTLED,RZP-TXN0013,0.0,0.0,7500,0.0,PAID,True,False,UNMATCHED
E0014,TXN0014,C114,2026-08-04,Customer payment for Order 0014,15000,SALE,RECORDED,1,15000.0,0.0,0.0,15000.0,2026-08-05,SETTLED,RZP-TXN0014,1.0,15000.0,15000,0.0,PAID,True,True,MATCHED
E0015,TXN0015,C123,2026-08-06,Customer payment for Order 0015,10000,SALE,RECORDED,1,10000.0,0.0,0.0,10000.0,2026-08-07,SETTLED,RZP-TXN0015,1.0,10000.0,10000,0.0,PAID,True,True,MATCHED
E0016,TXN0016,C117,2026-08-21,Customer payment for Order 0016,1500,SALE,RECORDED,1,1500.0,0.0,150.0,1350.0,2026-08-22,SETTLED,RZP-TXN0016,1.0,1350.0,1500,150.0,PAID,True,True,MATCHED
E0017,TXN0017,C134,2026-08-08,Customer payment for Order 0017,2500,SALE,RECORDED,1,2500.0,50.0,0.0,2450.0,2026-08-09,SETTLED,RZP-TXN0017,1.0,2450.0,2500,0.0,PAID,True,True,MATCHED
E0018,TXN0018,C140,2026-08-18,Customer payment for Order 0018,5000,SALE,RECORDED,1,5000.0,0.0,0.0,5000.0,2026-08-21,SETTLED,RZP-TXN0018,1.0,5000.0,5000,0.0,PAID,True,True,MATCHED
E0019,TXN0019,C114,2026-08-02,Customer payment for Order 0019,10000,SALE,RECORDED,1,10000.0,0.0,0.0,10000.0,2026-08-03,SETTLED,RZP-TXN0019,1.0,10000.0,10000,0.0,PAID,True,True,MATCHED
E0020,TXN0020,C113,2026-08-19,Customer payment for Order 0020,10000,SALE,RECORDED,1,10000.0,0.0,0.0,10000.0,2026-08-20,SETTLED,RZP-TXN0020,1.0,10000.0,10000,0.0,PAID,True,True,MATCHED
E0021,TXN0021,C125,2026-08-21,Customer payment for Order 0021,25000,SALE,RECORDED,1,25000.0,0.0,0.0,25000.0,2026-08-22,SETTLED,RZP-TXN0021,1.0,25000.0,25000,0.0,PAID,True,True,MATCHED
E0022,TXN0022,C115,2026-08-18,Customer payment for Order 0022,50000,SALE,RECORDED,1,50000.0,0.0,0.0,50000.0,2026-08-19,SETTLED,RZP-TXN0022,1.0,50000.0,50000,0.0,PAID,True,True,MATCHED
E0023,TXN0023,C127,2026-08-19,Customer payment for Order 0023,15000,SALE,RECORDED,1,15000.0,0.0,0.0,15000.0,2026-08-20,SETTLED,RZP-TXN0023,1.0,15000.0,15000,0.0,PAID,True,True,MATCHED
E0024,TXN0024,C132,2026-08-16,Customer payment for Order 0024,1500,SALE,RECORDED,1,1500.0,0.0,0.0,1500.0,2026-08-17,SETTLED,RZP-TXN002X,1.0,1500.0,1500,0.0,PAID,True,True,MATCHED
E0025,TXN0025,C109,2026-08-21,Customer payment for Order 0025,2500,SALE,RECORDED,1,2500.0,0.0,0.0,1500.0,2026-08-22,SETTLED,RZP-TXN0025,1.0,1500.0,2500,0.0,PARTIAL,False,True,HUMAN_REVIEW
