payment_id,settlement_id,transaction_id,customer_id,payment_date,gross_amount,fee,refund_amount,net_settlement,settlement_date,settlement_status,reference
PAY0001,SET0001,TXN0001,C140,2026-08-04,1000.0,0.0,0.0,1000.0,2026-08-05,SETTLED,RZP-TXN000X
PAY0002,SET0002,TXN0002,C114,2026-08-05,1500.0,0.0,0.0,1500.0,2026-08-08,SETTLED,RZP-TXN0002
PAY0003,SET0003,TXN0003,C105,2026-08-19,15000.0,0.0,0.0,15000.0,2026-08-20,SETTLED,RZP-TXN0003
PAY0004,SET0004,TXN0004,C113,2026-08-08,50000.0,0.0,5000.0,45000.0,2026-08-09,SETTLED,RZP-TXN0004
PAY0005,SET0005,TXN0005,C112,2026-08-21,50000.0,0.0,0.0,50000.0,2026-08-22,SETTLED,RZP-TXN0005
PAY0006,SET0006,TXN0006,C137,2026-08-09,1000.0,0.0,0.0,1000.0,2026-08-10,SETTLED,RZP-TXN000X
PAY0007,SET0007,TXN0007,C144,2026-08-14,10000.0,0.0,0.0,10000.0,2026-08-15,SETTLED,RZP-TXN0007
PAY0008,SET0008,TXN0008,C148,2026-08-11,1500.0,0.0,0.0,1500.0,2026-08-12,SETTLED,RZP-TXN0008
PAY0009,SET0009,TXN0009,C122,2026-08-12,75000.0,0.0,0.0,75000.0,2026-08-13,SETTLED,RZP-TXN0009
PAY0010,SET0010,TXN0010,C146,2026-08-15,50000.0,0.0,0.0,50000.0,2026-08-16,SETTLED,RZP-TXN0010
PAY0011,SET0011,TXN0011,C105,2026-08-18,7500.0,0.0,0.0,4500.0,2026-08-19,SETTLED,RZP-TXN0011
PAY0012,SET0012,TXN0012,C123,2026-08-19,5000.0,0.0,0.0,5000.0,2026-08-22,SETTLED,RZP-TXN0012
PAY0013,SET0013,TXN0013,C142,2026-08-08,7500.0,0.0,0.0,7500.0,2026-08-09,SETTLED,RZP-TXN0013
PAY0014,SET0014,TXN0014,C114,2026-08-04,15000.0,0.0,0.0,15000.0,2026-08-05,SETTLED,RZP-TXN0014
PAY0015,SET0015,TXN0015,C123,2026-08-06,10000.0,0.0,0.0,10000.0,2026-08-07,SETTLED,RZP-TXN0015
PAY0016,SET0016,TXN0016,C117,2026-08-21,1500.0,0.0,150.0,1350.0,2026-08-22,SETTLED,RZP-TXN0016
PAY0017,SET0017,TXN0017,C134,2026-08-08,2500.0,50.0,0.0,2450.0,2026-08-09,SETTLED,RZP-TXN0017
PAY0018,SET0018,TXN0018,C140,2026-08-18,5000.0,0.0,0.0,5000.0,2026-08-21,SETTLED,RZP-TXN0018
PAY0019,SET0019,TXN0019,C114,2026-08-02,10000.0,0.0,0.0,10000.0,2026-08-03,SETTLED,RZP-TXN0019
PAY0020,SET0020,TXN0020,C113,2026-08-19,10000.0,0.0,0.0,10000.0,2026-08-20,SETTLED,RZP-TXN0020
PAY0021,SET0021,TXN0021,C125,2026-08-21,25000.0,0.0,0.0,25000.0,2026-08-22,SETTLED,RZP-TXN0021
PAY0022,SET0022,TXN0022,C115,2026-08-18,50000.0,0.0,0.0,50000.0,2026-08-19,SETTLED,RZP-TXN0022
PAY0023,SET0023,TXN0023,C127,2026-08-19,15000.0,0.0,0.0,15000.0,2026-08-20,SETTLED,RZP-TXN0023
PAY0024,SET0024,TXN0024,C132,2026-08-16,1500.0,0.0,0.0,1500.0,2026-08-17,SETTLED,RZP-TXN002X
PAY0025,SET0025,TXN0025,C109,2026-08-21,2500.0,0.0,0.0,1500.0,2026-08-22,SETTLED,RZP-TXN0025
PAY0026,SET0026,TXN0026,C138,2026-08-03,15000.0,0.0,0.0,15000.0,2026-08-04,SETTLED,RZP-TXN0026
PAY0027,SET0027_1,TXN0027,C133,2026-08-09,30000.0,0.0,0.0,30000.0,2026-08-10,SETTLED,RZP-TXN0027-1
PAY0027,SET0027_2,TXN0027,C133,2026-08-09,20000.0,0.0,0.0,20000.0,2026-08-10,SETTLED,RZP-TXN0027-2
PAY0028,SET0028,TXN0028,C146,2026-08-04,50000.0,0.0,0.0,50000.0,2026-08-05,SETTLED,RZP-TXN002X
PAY0029,SET0029,TXN0029,C121,2026-08-04,7500.0,0.0,0.0,7500.0,2026-08-05,SETTLED,RZP-TXN0029
PAY0030,SET0030,TXN0030,C100,2026-08-09,50000.0,0.0,0.0,50000.0,2026-08-10,SETTLED,RZP-TXN003X
PAY0031,SET0031,TXN0031,C106,2026-08-21,7500.0,0.0,0.0,4500.0,2026-08-22,SETTLED,RZP-TXN0031
PAY0032,SET0032,TXN0032,C138,2026-08-07,2500.0,0.0,0.0,2500.0,2026-08-08,SETTLED,RZP-TXN0032
PAY0033,SET0033,TXN0033,C134,2026-08-17,1000.0,0.0,100.0,900.0,2026-08-18,SETTLED,RZP-TXN0033
PAY0034,SET0034_1,TXN0034,C101,2026-08-04,6000.0,0.0,0.0,6000.0,2026-08-05,SETTLED,RZP-TXN0034-1
PAY0034,SET0034_2,TXN0034,C101,2026-08-04,4000.0,0.0,0.0,4000.0,2026-08-05,SETTLED,RZP-TXN0034-2
PAY0035,SET0035,TXN0035,C103,2026-08-08,75000.0,0.0,0.0,74500.0,2026-08-09,SETTLED,RZP-TXN0035
PAY0036,SET0036,TXN0036,C131,2026-08-03,50000.0,0.0,0.0,50000.0,2026-08-04,SETTLED,RZP-TXN003X
PAY0037,SET0037,TXN0037,C142,2026-08-16,50000.0,0.0,0.0,50000.0,2026-08-17,SETTLED,RZP-TXN0037
PAY0038,SET0038,TXN0038,C138,2026-08-14,5000.0,0.0,0.0,3000.0,2026-08-15,SETTLED,RZP-TXN0038
