event_id,transaction_id,customer_id,transaction_date,description,amount,transaction_type,status,settlement_count,gross_amount,fee,refund_amount_settlement,net_settlement,settlement_date,settlement_status,reference,bank_transaction_count,credit,invoice_amount,refund_amount_invoice,payment_status,amount_explained,bank_amount_matches,reconciliation_status
E0011,TXN0011,C105,2026-08-18,Customer payment for Order 0011,7500,SALE,RECORDED,1,7500.0,0.0,0.0,4500.0,2026-08-19,SETTLED,RZP-TXN0011,1.0,4500.0,7500,0.0,PARTIAL,False,True,HUMAN_REVIEW
E0013,TXN0013,C142,2026-08-08,Customer payment for Order 0013,7500,SALE,RECORDED,1,7500.0,0.0,0.0,7500.0,2026-08-09,SETTLED,RZP-TXN0013,0.0,0.0,7500,0.0,PAID,True,False,UNMATCHED
E0025,TXN0025,C109,2026-08-21,Customer payment for Order 0025,2500,SALE,RECORDED,1,2500.0,0.0,0.0,1500.0,2026-08-22,SETTLED,RZP-TXN0025,1.0,1500.0,2500,0.0,PARTIAL,False,True,HUMAN_REVIEW
E0027,TXN0027,C133,2026-08-09,Customer payment for Order 0027,50000,SALE,RECORDED,2,50000.0,0.0,0.0,50000.0,2026-08-10,SETTLED,RZP-TXN0027-1,2.0,50000.0,50000,0.0,PAID,True,True,HUMAN_REVIEW
E0031,TXN0031,C106,2026-08-21,Customer payment for Order 0031,7500,SALE,RECORDED,1,7500.0,0.0,0.0,4500.0,2026-08-22,SETTLED,RZP-TXN0031,1.0,4500.0,7500,0.0,PARTIAL,False,True,HUMAN_REVIEW
E0034,TXN0034,C101,2026-08-04,Customer payment for Order 0034,10000,SALE,RECORDED,2,10000.0,0.0,0.0,10000.0,2026-08-05,SETTLED,RZP-TXN0034-1,2.0,10000.0,10000,0.0,PAID,True,True,HUMAN_REVIEW
E0035,TXN0035,C103,2026-08-08,Customer payment for Order 0035,75000,SALE,RECORDED,1,75000.0,0.0,0.0,74500.0,2026-08-09,SETTLED,RZP-TXN0035,1.0,74500.0,75000,0.0,PAID,False,True,UNMATCHED
E0038,TXN0038,C138,2026-08-14,Customer payment for Order 0038,5000,SALE,RECORDED,1,5000.0,0.0,0.0,3000.0,2026-08-15,SETTLED,RZP-TXN0038,1.0,3000.0,5000,0.0,PAID,False,True,UNMATCHED
E0039,TXN0039,C112,2026-08-10,Customer payment for Order 0039,15000,SALE,RECORDED,1,15000.0,0.0,0.0,15000.0,2026-08-11,SETTLED,RZP-TXN0039,0.0,0.0,15000,0.0,PAID,True,False,UNMATCHED
E0040,TXN0040,C141,2026-08-12,Customer payment for Order 0040,25000,SALE,RECORDED,2,25000.0,0.0,0.0,25000.0,2026-08-13,SETTLED,RZP-TXN0040-1,2.0,25000.0,25000,0.0,PAID,True,True,HUMAN_REVIEW
